Section_code,Division_code,Group_code,Class_code,Item_code,,,,,,Section_name,Division_name,Group_name,Class_name,Item_name
SECTION C,10,108,1080,10800,1,1,1,,,MANUFACTURING,MANUFACTURE OF FOOD PRODUCTS,MANUFACTURE OF PREPARED ANIMAL FEEDS,Manufacture of Prepared Animal Feeds,Manufacture of prepared animal feeds (including additives for animal feed)
SECTION C,11,110,1101,11010,1,1,1,,,MANUFACTURING,MANUFACTURE OF BEVERAGES,MANUFACTURE OF BEVERAGES,"Distilling, Rectifying and Blending of Spirits","Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials (including samsu and Chinese liquors)"
SECTION C,11,110,1102,11020,1,1,1,,,MANUFACTURING,MANUFACTURE OF BEVERAGES,MANUFACTURE OF BEVERAGES,Manufacture of Wines,Manufacture of wines
SECTION C,11,110,1103,11030,1,1,1,,,MANUFACTURING,MANUFACTURE OF BEVERAGES,MANUFACTURE OF BEVERAGES,Manufacture of Malt Liquors and Malt,Manufacture of malt liquors and malt (e.g. beer and stout)
SECTION C,11,110,1104,11041,1,1,1,,,MANUFACTURING,MANUFACTURE OF BEVERAGES,MANUFACTURE OF BEVERAGES,"Manufacture of Soft Drinks, Production of Mineral Waters and Other Bottled Waters","Manufacture of soft drinks, production of mineral waters (including carbonated waters, soya bean milk, barley water, chrysanthemum water)"
SECTION C,11,110,1104,11042,1,1,1,,,MANUFACTURING,MANUFACTURE OF BEVERAGES,MANUFACTURE OF BEVERAGES,"Manufacture of Soft Drinks, Production of Mineral Waters and Other Bottled Waters","Manufacture of cordials, syrups and composite concentrates for beverages"
SECTION C,11,110,1104,11043,1,1,1,,,MANUFACTURING,MANUFACTURE OF BEVERAGES,MANUFACTURE OF BEVERAGES,"Manufacture of Soft Drinks, Production of Mineral Waters and Other Bottled Waters",Manufacture of ice except dry ice
SECTION C,12,120,1200,12001,1,1,1,,,MANUFACTURING,MANUFACTURE OF TOBACCO PRODUCTS,MANUFACTURE OF TOBACCO PRODUCTS,Manufacture of Tobacco Products,Manufacture of cigarettes
SECTION C,12,120,1200,12009,1,1,1,,,MANUFACTURING,MANUFACTURE OF TOBACCO PRODUCTS,MANUFACTURE OF TOBACCO PRODUCTS,Manufacture of Tobacco Products,"Manufacture of tobacco products n.e.c. (e.g. cigars, Chinese tobacco)"
SECTION C,13,131,1310,13100,1,1,1,,,MANUFACTURING,MANUFACTURE OF TEXTILES,"SPINNING, WEAVING AND FINISHING OF TEXTILES","Spinning, Weaving and Finishing of Textiles","Spinning, weaving and finishing of textiles"
